ITEM_ID,TITLES
nm0879412,50182 | 84038 | 113781
nm0164281,41278 | 94643
nm1012587,41278 | 94643
nm0378407,94643
nm1428608,94643
nm0809910,94643
nm0509806,171430
nm1778194,171430
nm0954087,171430
nm4905952,147554
nm4906549,147554
nm0302368,5698
nm0001908,5698 | 43678 | 53407
nm0007625,5698 | 144139
nm0055607,5698
nm0055661,5698
nm0131750,5698
nm2313241,5698
nm0146223,43678 | 53407
nm0230778,43678 | 53403
nm0000122,43678 | 53407 | 53403 | 53368 | 53410 | 53412 | 22938 | 53385 | 22941 | 53371 | 22885 | 901 | 33300 | 53400 | 53374 | 53387 | 22936 | 22943 | 28978 | 3082 | 53425 | 22870 | 53392 | 53393 | 36208 | 50775 | 53401 | 53384 | 53397 | 31819 | 22879 | 53390 | 53394 | 22892 | 53430 | 962 | 53423 | 73705 | 53405 | 30982 | 13707 | 53406 | 53411 | 53419 | 2079 | 53417 | 53416 | 53418 | 2078 | 53414 | 2077 | 53421 | 53420 | 47650 | 47653 | 53424 | 42510 | 10098 | 914 | 30588 | 28971 | 28973
nm0035627,43678 | 53410 | 53405 | 30982 | 53406 | 53411 | 53414 | 53421
nm0045800,43678 | 53407 | 53410 | 53412 | 50775 | 53405 | 30982 | 53417 | 53416
nm0417168,43678 | 53412 | 115931 | 50775 | 53405 | 30982 | 53406 | 53411 | 53414
nm1678778,43678 | 53403
nm0165744,53407
nm0929619,53407
nm0144207,53407
nm0123215,53407
nm0146227,53407
nm0032397,53407
nm1299515,144139
nm0891119,44341
nm0924475,44341
nm0135053,185223
nm0935806,185223
nm10471850,185223
nm0292041,94814
nm0603386,94814
nm1291712,94814
nm1296824,94814
nm1295397,94814
nm0659947,139246 | 36821 | 85220
nm0710362,139246
nm0928108,36821 | 214201
nm0925310,36821
nm0430968,36821 | 38730
nm0177886,105352
nm0298300,105352
nm0065035,105352
nm0250480,105352
nm0422465,105352
nm0588295,105352
nm1096358,105352
nm0259860,105352
nm0792727,70734
nm0001273,70734 | 193899 | 191427 | 125673 | 3059 | 36106 | 899 | 42553 | 618 | 85638 | 31509 | 42511 | 110253 | 189682 | 31416 | 188293 | 98482 | 32558 | 3112 | 27261 | 40454 | 146455 | 49815
nm0437312,70734
nm0172903,70734 | 188066 | 189621 | 120835 | 104439 | 84298 | 96395 | 81829 | 43867 | 167057 | 43501 | 121379 | 77110 | 17831 | 3598 | 126777 | 158439 | 80694 | 22387 | 23159 | 41206 | 181537 | 41084 | 43252
nm0537222,67440
nm0070762,67440
nm0544539,67440 | 84248 | 199689
nm0885965,67440 | 42536 | 95371
nm0558863,143634 | 150396 | 196508 | 232942 | 196522
nm0595321,222131 | 5729 | 156326 | 44532
nm0528678,222131
nm0350759,222131 | 29466
nm0318420,222131
nm0848173,222131
nm0782229,222131
nm0136830,222131
nm0529227,5729 | 128888
nm0479475,5729
nm0259722,5729
nm0282653,156326 | 52677
nm0699522,156326 | 76651 | 67451 | 54419 | 93057
nm0513327,156326 | 285787
nm0740696,44532 | 85764 | 51166 | 56544 | 54288
nm0683012,44532
nm0535581,44532
nm0014656,32859 | 72400 | 67443
nm0300388,32859 | 66963 | 43153 | 26252
nm0889024,32859 | 67443 | 265491 | 67532 | 76651 | 166883 | 258384 | 110573 | 195382 | 204 | 827 | 35206 | 98306 | 61711 | 69729 | 269084 | 365414 | 58545 | 269539
nm0087018,32859 | 354105 | 117500
nm0300064,72400 | 67443 | 45802 | 59434 | 777 | 95371 | 26252 | 64897 | 43603 | 78537 | 29415 | 46326 | 27053 | 42062 | 92410 | 65718 | 144780 | 43360 | 63224 | 27430 | 45213 | 67431 | 44256 | 19178 | 37454 | 4412 | 76772 | 66966 | 434966 | 33362 | 75066 | 44522 | 33998 | 76647 | 22650 | 78181 | 55316 | 11912 | 4235 | 65887 | 24984 | 74817 | 4680 | 144726 | 78942
nm0030246,72400 | 206237 | 148675 | 53851 | 258384 | 32317 | 18200 | 48369 | 26852
nm0494670,72400
nm0738780,67443 | 43462 | 22650
nm0691995,55644 | 131366
nm0417837,55644 | 48214 | 10728 | 94344 | 27522 | 5991 | 94803 | 52679 | 228 | 258070
nm0367111,55644 | 3578
nm0366603,55644 | 175472
nm0466776,131366 | 111831 | 905 | 84956 | 181649
nm0226189,131366 | 27522 | 158219
nm2096855,131366
nm0106151,94702
nm0380965,344339 | 1405 | 85876 | 109944 | 162800 | 95862 | 151590 | 20675 | 104221 | 247793 | 131894 | 152988 | 28345 | 173605 | 43843 | 59589 | 85639
nm0320681,344339
nm0682784,344339
nm0668927,344339
nm0937058,344339 | 141923
nm0245802,344339
nm0237651,344339
nm0298202,1405
nm0686032,1405 | 42537 | 44439 | 212291 | 121013 | 36006 | 215847 | 105067 | 95004 | 109197 | 156420 | 186932 | 238611 | 147864 | 117970 | 223497 | 43903 | 294197 | 64928 | 165747 | 245051 | 222998 | 111335 | 198939 | 43387
nm0332998,1405 | 70806
nm0167032,85876 | 73575 | 184885 | 53800 | 125749 | 73420 | 140517 | 108923
nm0790454,85876 | 50600 | 43879 | 43847 | 27511 | 203024 | 84303 | 162928 | 22490 | 120844 | 99767 | 61523 | 99283 | 246292 | 109008 | 80708 | 43693 | 178449 | 97991 | 214909
nm0003895,85876 | 168887 | 35545 | 31510 | 186201 | 142159 | 246869 | 97716 | 212899 | 106867 | 99934 | 97482 | 356174
nm0071602,109944 | 79761 | 99767
nm0369793,109944 | 23310 | 128298 | 45807
nm0642063,109944 | 51371 | 289479
nm0682074,162800 | 43266 | 263013 | 283899 | 100010 | 37631 | 130390 | 27367 | 33028 | 36633 | 96172 | 50066 | 81116 | 22404 | 102526 | 47404 | 198143 | 90932 | 91477 | 47401 | 23861 | 240327 | 213443 | 43853 | 99318 | 40639 | 84087 | 94881 | 144744 | 147843 | 69483 | 43187 | 92699 | 161602 | 68976 | 32499 | 43189 | 25550 | 52365 | 226689 | 57575 | 131783 | 830 | 82838 | 46190 | 2160 | 17185 | 61871 | 58701 | 25892 | 260896 | 72460 | 62754
nm0336432,162800 | 229221 | 134914
nm0781876,162800
nm0832011,95862 | 247793 | 96161 | 35545 | 290379 | 121003 | 225499 | 236583 | 39075 | 28258 | 97716 | 3484 | 194094 | 2981 | 47250 | 71282 | 99997 | 97395 | 156339 | 246875 | 212899 | 42615 | 99767 | 5201 | 77412 | 85504 | 117004 | 77966 | 201477 | 31526 | 182934 | 149642 | 178580 | 52358 | 149955 | 179177 | 124381 | 43846 | 120757 | 158724 | 116232 | 43826 | 155756 | 178337 | 120885 | 43808 | 43789 | 43793 | 43167 | 71012 | 92848 | 43483 | 131488 | 249567 | 297574 | 77678
nm0318105,95862 | 3060 | 108632 | 175502 | 110253 | 53230 | 27511 | 174946 | 128899 | 120831 | 38687 | 42615 | 31526 | 134427 | 207636 | 134742 | 98293
nm0404885,95862 | 61546 | 51303 | 174792 | 166626 | 77966 | 136 | 3031 | 242792 | 111306 | 239423
nm0001256,151590 | 95956 | 35545 | 43874 | 8462 | 33680 | 30631 | 206581 | 132177 | 42812 | 120831 | 38687 | 82096 | 42615 | 5201 | 77412 | 31526 | 1859 | 95874 | 103166 | 108923 | 30630 | 70881
nm0587534,151590 | 247793 | 161297 | 222194 | 27504 | 80026 | 336828 | 31282 | 201695 | 194310 | 122325 | 75880 | 23340
nm0000022,151590 | 50600 | 85670 | 45800 | 43155 | 37593 | 221656 | 172883 | 71282 | 3078 | 33028 | 43881 | 246874 | 182934 | 61523 | 50079 | 43600 | 38721 | 82106 | 88812 | 168045 | 34269 | 95131 | 97327 | 249799 | 119819 | 184741 | 38077 | 83665 | 51394 | 36513 | 61541 | 28564 | 52239 | 90957 | 150249 | 12311 | 770 | 55604 | 32194 | 50271 | 65553 | 44869 | 23861 | 102026 | 121074 | 25009 | 47303 | 44888 | 37317 | 43310 | 37311 | 18784 | 43137 | 121234 | 38151 | 11536
nm0001318,20675 | 121003 | 45800 | 39130 | 28258 | 71282 | 77966 | 52358 | 38721 | 227402 | 43601 | 26884 | 38077 | 22301 | 43863 | 31773 | 194310 | 121006 | 90957 | 17687
nm0404158,20675 | 104458 | 100605 | 29451 | 39047 | 117004 | 223816 | 43451 | 130816 | 264741 | 31507 | 42815 | 84505 | 61369 | 4886 | 91961 | 42616 | 45215 | 48127 | 161512 | 97767 | 1773 | 100420 | 122884 | 42678 | 55238 | 3087 | 22613 | 23388 | 123665 | 26286 | 86990 | 3090 | 147886 | 28304
nm0285922,20675 | 188370 | 138956 | 43599 | 38494 | 46910 | 136 | 37441 | 31498 | 52239 | 113749 | 244447 | 51467 | 114975 | 145878 | 293106 | 26321 | 26174 | 11787 | 25738 | 86917 | 178589 | 62396 | 33364
nm0237597,104221 | 22943 | 188293 | 39130 | 85505 | 76192 | 53209 | 42812 | 174792 | 162928 | 205722 | 272667
nm0001485,104221 | 43155 | 169842 | 188285 | 200574 | 206034 | 175035 | 120862 | 77198 | 33028 | 101889 | 14589 | 38721 | 106867 | 32294 | 20643 | 43277 | 14594 | 249799 | 67368 | 63041 | 81115 | 136109 | 95854 | 23395 | 34977 | 887 | 116639 | 146147 | 53864 | 28564 | 3529 | 14588 | 31773 | 20642 | 20644 | 14590 | 14595 | 91181 | 33839 | 165860 | 27437 | 213443 | 174784 | 115109 | 95273 | 50549 | 95402 | 42541 | 12617 | 184799
nm0188673,104221 | 43898 | 285409 | 28810 | 217917 | 79973 | 118731
nm0878546,247793 | 42813 | 113080 | 242444 | 369065 | 212291 | 336828 | 156360 | 196691 | 159926 | 246299 | 293106 | 180403 | 322784
nm0654530,247793 | 136106 | 86457 | 121018 | 52228
nm0001870,247793 | 88643 | 43792 | 27597 | 176107 | 76192 | 99997 | 246875 | 120497 | 85504 | 291558 | 291891 | 247604 | 989 | 112885 | 190071 | 176457 | 228647 | 57035 | 223367 | 112618 | 43166 | 53853 | 76211 | 2761 | 229610 | 103938 | 111463 | 115111 | 43805 | 144389 | 43187 | 132506 | 43494 | 19463 | 339973 | 43804 | 194407 | 43526 | 213064 | 63591 | 97584 | 263200 | 109970 | 183178 | 96107 | 28120 | 27203 | 186252 | 62661 | 207589 | 40790
nm0000964,131894 | 84050 | 88320 | 13528 | 43739 | 107876 | 116712 | 188700 | 63702 | 355147 | 151848 | 43876 | 30630 | 31903 | 61046 | 22657 | 43807 | 109016 | 51395 | 27655 | 85677 | 86120 | 32130 | 160660 | 52270 | 40985 | 39306 | 178587 | 27030 | 94123 | 51166 | 4933 | 50474 | 129009 | 111975 | 4708 | 17887 | 61296 | 78358
nm0000031,131894 | 43690 | 108348 | 73125 | 43886 | 900 | 39938 | 31777 | 43864 | 37581 | 31866 | 44098 | 52237 | 43875 | 20640 | 148662 | 123665 | 33034 | 16274 | 17538 | 488 | 24203 | 31998 | 87531 | 33792 | 25431 | 33575 | 1879 | 115507 | 40953 | 981 | 50363 | 43542 | 14698 | 43004 | 18988 | 47446 | 38729 | 56764 | 180348 | 11816 | 216822 | 43742
nm0063619,131894 | 43690 | 245976 | 269981 | 109711 | 313333 | 43861 | 20642 | 44611 | 18851 | 327845 | 120303
